01:19:02:634 [ALWAYS]	GUDE Logging Started
01:19:02:636 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:19:02:636 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:19:02:636 [ERROR]	Initialize resume cache pointer failure
01:19:02:636 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:19:02:636 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:19:08:418 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:19:08:418 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:19:08:418 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:19:08:418 [ERROR]	Initialize resume cache pointer failure
01:19:08:418 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:19:08:418 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
